semantic_text,template_id,occurrences,service,timestamp,timestamp_canonical
nova-api.log.ts info nova.osapi_compute.wsgi.server ts -ip ts http status: pid len: ts time: ts,1,767035932,nova-api,"['2017-05-14T21:27:04Z', '2017-05-14T21:56:07Z']",2017-05-14T21:41:35Z
nova-compute.log.ts pid info nova.virt.libvirt.driver - instance: id instance spawned successfully.,10,17056900,nova-compute,"['2017-05-14T21:27:09Z', '2017-05-14T21:56:26Z', '2017-05-16T13:55:31Z', '2017-05-17T12:02:35Z']",2017-05-15T17:55:58Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,100,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,101,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,102,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,103,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,104,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,105,1836,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,106,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,107,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,108,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,109,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id took 21.38 seconds to build instance.,11,4268356,nova-compute,"['2017-05-14T21:27:09Z', '2017-05-14T21:56:26Z', '2017-05-16T13:55:31Z', '2017-05-17T12:02:35Z']",2017-05-15T17:55:58Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,110,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,111,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,112,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,113,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,114,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,115,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,116,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,117,1836,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,118,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,119,3060,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager - instance: id during sync_power_state the instance has a pending task spawning. skip.,12,4225,nova-compute,"['2017-05-14T21:27:09Z', '2017-05-16T13:55:31Z', '2017-05-17T12:02:35Z']",2017-05-16T13:55:31Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,120,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,121,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,122,1836,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,123,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,124,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,125,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,126,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,127,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,128,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,129,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-api.log.ts info nova.metadata.wsgi.server - ts get ts http status: ts len: ts time: ts,13,84566416,nova-api,"['2017-05-14T21:27:04Z', '2017-05-14T21:56:07Z', '2017-05-16T13:53:08Z', '2017-05-17T12:02:19Z']",2017-05-15T17:54:37Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,130,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,131,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
nova-compute.log.ts pid info nova.compute.manager req_id-id -instance: id during sync_power_state the instance has a pending task spawning. skip.,132,2448,nova-compute,['2017-05-14T21:27:09Z'],2017-05-14T21:27:09Z
